start,end,Pseudacris crucifer_Spring Peeper,file,Lithobates sylvaticus_Wood Frog,Ixoreus naevius_Varied Thrush,Lithobates palustris_Pickerel Frog,Melospiza melodia_Song Sparrow,Antrostomus ridgwayi_Buff-collared Nightjar,Cacomantis variolosus_Brush Cuckoo,Aix sponsa_Wood Duck,Myadestes townsendi_Townsend's Solitaire,Turdus migratorius_American Robin,Manorina melanophrys_Bell Miner,Megascops albogularis_White-throated Screech-Owl,Sayornis phoebe_Eastern Phoebe,Pseudacris triseriata_Striped Chorus Frog,Sitta carolinensis_White-breasted Nuthatch,Sitta europaea_Eurasian Nuthatch,Botaurus stellaris_Great Bittern,Botaurus lentiginosus_American Bittern,Psiloscops flammeolus_Flammulated Owl,Tetrao urogallus_Western Capercaillie,Poecile atricapillus_Black-capped Chickadee,Tapera naevia_Striped Cuckoo,Turdus philomelos_Song Thrush,Catharus guttatus_Hermit Thrush,Poecile gambeli_Mountain Chickadee,Megaceryle alcyon_Belted Kingfisher,Oecanthus niveus_Narrow-winged Tree Cricket,Regulus satrapa_Golden-crowned Kinglet,Cormobates leucophaea_White-throated Treecreeper,Regulus regulus_Goldcrest,Salpinctes obsoletus_Rock Wren,Palmeria dolei_Akohekohe,Microcentrum rhombifolium_Greater Angle-wing,Scudderia texensis_Texas Bush Katydid,Strix uralensis_Ural Owl,Tetrastes bonasia_Hazel Grouse,Amblycorypha longinicta_Common Virtuoso Katydid,Tyto alba_Barn Owl,Piranga rubra_Summer Tanager,Burhinus oedicnemus_Eurasian Thick-knee,Zonotrichia leucophrys_White-crowned Sparrow,Myadestes genibarbis_Rufous-throated Solitaire,Gypsophila brevicaudata_Streaked Wren-Babbler,Anas platyrhynchos_Mallard,Conopophaga melanops_Black-cheeked Gnateater,Caryothraustes poliogaster_Black-faced Grosbeak,Oecanthus exclamationis_Davis's Tree Cricket,Anas crecca_Green-winged Teal,Turdus infuscatus_Black Thrush,Mareca strepera_Gadwall,Horornis annae_Palau Bush Warbler,Dryobates villosus_Hairy Woodpecker,Pluvialis dominica_American Golden-Plover,Phylidonyris pyrrhopterus_Crescent Honeyeater,Ramphastos vitellinus_Channel-billed Toucan,Brachyramphus marmoratus_Marbled Murrelet,Strix varia_Barred Owl,Mitrospingus oleagineus_Olive-backed Tanager,Turdus merula_Eurasian Blackbird,Dryobates minor_Lesser Spotted Woodpecker,Xiphocolaptes promeropirhynchus_Strong-billed Woodcreeper,Amblycorypha alexanderi_Clicker Round-winged Katydid,Pluvialis apricaria_European Golden-Plover,Turdus viscivorus_Mistle Thrush,Pipilo chlorurus_Green-tailed Towhee,Catharus frantzii_Ruddy-capped Nightingale-Thrush,Scytalopus novacapitalis_Brasilia Tapaculo,Actenoides lindsayi_Spotted Kingfisher,Rallus aquaticus_Water Rail,Cacomantis flabelliformis_Fan-tailed Cuckoo,Strix aluco_Tawny Owl,Edolisoma tenuirostre_Common Cicadabird,Caprimulgus poliocephalus_Abyssinian Nightjar,Haliaeetus leucocephalus_Bald Eagle,Certhia americana_Brown Creeper,Catharus fuscater_Slaty-backed Nightingale-Thrush,Napothera danjoui_Short-tailed Scimitar-Babbler,Cyanocitta cristata_Blue Jay,Orocharis saltator_Jumping Bush Cricket,Ciccaba albitarsis_Rufous-banded Owl,Pinicola enucleator_Pine Grosbeak,Icterus parisorum_Scott's Oriole,Theristicus melanopis_Black-faced Ibis,Hylocichla mustelina_Wood Thrush,Coccothraustes coccothraustes_Hawfinch,Falco naumanni_Lesser Kestrel,Anaxyrus americanus_American Toad,Sialia sialis_Eastern Bluebird,Illadopsis rufipennis_Pale-breasted Illadopsis,Haemorhous purpureus_Purple Finch,Coturnix coturnix_Common Quail,Pipreola riefferii_Green-and-black Fruiteater,Turdus falcklandii_Austral Thrush,Mesitornis variegatus_White-breasted Mesite,Contopus pertinax_Greater Pewee,Schiffornis turdina_Brown-winged Schiffornis,Poliocrania exsul_Chestnut-backed Antbird,Illadopsis albipectus_Scaly-breasted Illadopsis,Formicarius colma_Rufous-capped Antthrush,Nilaus afer_Brubru,Myiomela leucura_White-tailed Robin,Engine_Engine,Zoothera lunulata_Bassian Thrush,Geokichla gurneyi_Orange Ground-Thrush,Turdinus marmoratus_Marbled Wren-Babbler,Buteo platypterus_Broad-winged Hawk,Alectoris graeca_Rock Partridge,Turdus olivater_Black-hooded Thrush,Lithobates catesbeianus_American Bullfrog,Clanga pomarina_Lesser Spotted Eagle,Picus viridis_Eurasian Green Woodpecker,Haematopus ostralegus_Eurasian Oystercatcher,Bucorvus leadbeateri_Southern Ground-Hornbill,Mecocerculus stictopterus_White-banded Tyrannulet,Baeolophus bicolor_Tufted Titmouse,Icterus chrysater_Yellow-backed Oriole,Fringilla montifringilla_Brambling,Tyto tenebricosa_Sooty Owl,Quiscalus quiscula_Common Grackle,Peucaea aestivalis_Bachman's Sparrow,Turdus iliacus_Redwing,Certhia familiaris_Eurasian Treecreeper,Peucaea carpalis_Rufous-winged Sparrow,Charadrius dubius_Little Ringed Plover,Pseudacris brimleyi_Brimley's Chorus Frog,Ramphocelus passerinii_Scarlet-rumped Tanager,Elaenia frantzii_Mountain Elaenia,Rhipidura albiscapa_Gray Fantail,Clanga clanga_Greater Spotted Eagle,Psilopogon duvaucelii_Blue-eared Barbet,Dendrocopos major_Great Spotted Woodpecker,Spinus pinus_Pine Siskin,Sitta canadensis_Red-breasted Nuthatch,Piranga olivacea_Scarlet Tanager,Setophaga coronata_Yellow-rumped Warbler,Pitangus sulphuratus_Great Kiskadee,Crypturellus soui_Little Tinamou,Setophaga caerulescens_Black-throated Blue Warbler,Aechmophorus occidentalis_Western Grebe,Junco hyemalis_Dark-eyed Junco,Athene noctua_Little Owl,Cacomantis merulinus_Plaintive Cuckoo,Grallaria nuchalis_Chestnut-naped Antpitta,Hedydipna metallica_Nile Valley Sunbird,Gyps fulvus_Eurasian Griffon,Pseudacris ornata_Ornate Chorus Frog,Pica hudsonia_Black-billed Magpie,Grallaricula nana_Slate-crowned Antpitta,Himantopus himantopus_Black-winged Stilt,Dryophytes femoralis_Pine Woods Treefrog,Icterus graduacauda_Audubon's Oriole,Cyanomitra olivacea_Olive Sunbird,Empidonax virescens_Acadian Flycatcher,Haematopus bachmani_Black Oystercatcher,Petronia petronia_Rock Sparrow,Turdus albocinctus_White-collared Blackbird,Todus angustirostris_Narrow-billed Tody,Catharus ustulatus_Swainson's Thrush,Aramides axillaris_Rufous-necked Wood-Rail,Ortalis wagleri_Rufous-bellied Chachalaca
0,3,0.862401187,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,0.961081326,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,0.910230219,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,0.870582104,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15,0.881995857,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,18,0.955480516,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,21,0.805422544,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,24,0.884298742,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,27,0.907357275,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,30,0.8852247,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,33,0.929932714,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,36,0.868011773,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,39,0.926270843,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,42,0.899892867,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,45,0.852717638,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,48,0.886679053,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,51,0.927944362,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,54,0.938489199,20240401_232400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
