start,end,Human vocal_Human vocal,file,Coccyzus americanus_Yellow-billed Cuckoo,Melospiza melodia_Song Sparrow,Branta canadensis_Canada Goose,Podilymbus podiceps_Pied-billed Grebe,Lithobates palustris_Pickerel Frog,Cygnus buccinator_Trumpeter Swan,Anas platyrhynchos_Mallard,Aegolius acadicus_Northern Saw-whet Owl,Pseudacris crucifer_Spring Peeper,Dryocopus pileatus_Pileated Woodpecker,Engine_Engine,Myadestes townsendi_Townsend's Solitaire,Corvus corax_Common Raven,Cygnus columbianus_Tundra Swan,Aythya collaris_Ring-necked Duck,Bubo virginianus_Great Horned Owl,Gavia immer_Common Loon,Botaurus lentiginosus_American Bittern,Quiscalus quiscula_Common Grackle,Aix sponsa_Wood Duck,Antigone canadensis_Sandhill Crane,Turdus migratorius_American Robin,Strix varia_Barred Owl,Canis latrans_Coyote,Melanerpes carolinus_Red-bellied Woodpecker,Agelaius phoeniceus_Red-winged Blackbird,Melospiza georgiana_Swamp Sparrow,Spizelloides arborea_American Tree Sparrow,Scolopax minor_American Woodcock,Corvus brachyrhynchos_American Crow,Hydroprogne caspia_Caspian Tern,Spinus tristis_American Goldfinch,Megaceryle alcyon_Belted Kingfisher,Larus delawarensis_Ring-billed Gull,Sitta canadensis_Red-breasted Nuthatch,Gallinago delicata_Wilson's Snipe,Regulus satrapa_Golden-crowned Kinglet,Certhia americana_Brown Creeper,Nycticorax nycticorax_Black-crowned Night-Heron,Anser albifrons_Greater White-fronted Goose,Anas crecca_Green-winged Teal,Catharus guttatus_Hermit Thrush,Cyanocitta cristata_Blue Jay,Troglodytes hiemalis_Winter Wren,Dryobates pubescens_Downy Woodpecker,Petrochelidon pyrrhonota_Cliff Swallow,Poecile atricapillus_Black-capped Chickadee,Salpinctes obsoletus_Rock Wren,Lanius borealis_Northern Shrike,Zonotrichia leucophrys_White-crowned Sparrow,Colaptes auratus_Northern Flicker,Zonotrichia albicollis_White-throated Sparrow,Mareca strepera_Gadwall,Setophaga fusca_Blackburnian Warbler,Anser caerulescens_Snow Goose,Zenaida macroura_Mourning Dove,Corvus ossifragus_Fish Crow,Mareca americana_American Wigeon,Branta hutchinsii_Cackling Goose,Haliaeetus leucocephalus_Bald Eagle,Dog_Dog,Euphagus carolinus_Rusty Blackbird,Microcentrum rhombifolium_Greater Angle-wing,Meleagris gallopavo_Wild Turkey,Anas rubripes_American Black Duck,Dryobates villosus_Hairy Woodpecker,Hylocichla mustelina_Wood Thrush,Haemorhous mexicanus_House Finch,Aythya americana_Redhead,Lithobates clamitans_Green Frog,Sayornis phoebe_Eastern Phoebe,Piranga rubra_Summer Tanager,Setophaga striata_Blackpoll Warbler,Ammospiza leconteii_LeConte's Sparrow,Coturnicops noveboracensis_Yellow Rail,Lithobates sylvaticus_Wood Frog,Junco hyemalis_Dark-eyed Junco,Sayornis saya_Say's Phoebe,Coccyzus erythropthalmus_Black-billed Cuckoo,Baeolophus bicolor_Tufted Titmouse,Passerella iliaca_Fox Sparrow,Tachycineta bicolor_Tree Swallow,Sphyrapicus varius_Yellow-bellied Sapsucker,Chaetura pelagica_Chimney Swift,Chordeiles minor_Common Nighthawk,Pandion haliaetus_Osprey,Buteo jamaicensis_Red-tailed Hawk,Charadrius semipalmatus_Semipalmated Plover,Empidonax flaviventris_Yellow-bellied Flycatcher,Gallinula galeata_Common Gallinule,Seiurus aurocapilla_Ovenbird,Tringa melanoleuca_Greater Yellowlegs,Tamias striatus_Eastern Chipmunk,Vermivora chrysoptera_Golden-winged Warbler,Tyrannus verticalis_Western Kingbird,Buteo platypterus_Broad-winged Hawk,Helmitheros vermivorum_Worm-eating Warbler,Euphagus cyanocephalus_Brewer's Blackbird,Rallus limicola_Virginia Rail,Bombycilla cedrorum_Cedar Waxwing,Melanerpes erythrocephalus_Red-headed Woodpecker
0.0,3.0,0.48680537939071655,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,,20240330_141401.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
