start,end,file,Human non-vocal_Human non-vocal,Lithobates catesbeianus_American Bullfrog,Engine_Engine,Turdus migratorius_American Robin,Scolopax minor_American Woodcock,Melospiza melodia_Song Sparrow,Zonotrichia leucophrys_White-crowned Sparrow,Accipiter gentilis_Northern Goshawk,Poecile atricapillus_Black-capped Chickadee,Regulus satrapa_Golden-crowned Kinglet,Salpinctes obsoletus_Rock Wren,Haemorhous mexicanus_House Finch,Branta bernicla_Brant,Sitta canadensis_Red-breasted Nuthatch,Chaetura pelagica_Chimney Swift,Junco hyemalis_Dark-eyed Junco,Dryobates villosus_Hairy Woodpecker,Certhia americana_Brown Creeper,Chordeiles minor_Common Nighthawk,Scudderia furcata_Fork-tailed Bush Katydid,Conocephalus fasciatus_Slender Meadow Katydid,Amblycorypha longinicta_Common Virtuoso Katydid,Anser albifrons_Greater White-fronted Goose,Dryocopus pileatus_Pileated Woodpecker,Acanthis flammea_Common Redpoll,Aechmophorus occidentalis_Western Grebe,Megaceryle alcyon_Belted Kingfisher,Bubo virginianus_Great Horned Owl,Aegolius acadicus_Northern Saw-whet Owl,Cyanocitta cristata_Blue Jay,Spinus pinus_Pine Siskin,Sialia sialis_Eastern Bluebird,Quiscalus quiscula_Common Grackle,Corvus brachyrhynchos_American Crow,Myadestes townsendi_Townsend's Solitaire,Pseudacris crucifer_Spring Peeper,Anthus rubescens_American Pipit,Passerella iliaca_Fox Sparrow,Catharus guttatus_Hermit Thrush,Troglodytes hiemalis_Winter Wren,Haemorhous purpureus_Purple Finch,Branta canadensis_Canada Goose,Protonotaria citrea_Prothonotary Warbler,Sitta carolinensis_White-breasted Nuthatch,Sayornis phoebe_Eastern Phoebe,Zonotrichia albicollis_White-throated Sparrow,Catharus fuscescens_Veery,Catharus ustulatus_Swainson's Thrush,Setophaga fusca_Blackburnian Warbler,Stelgidopteryx serripennis_Northern Rough-winged Swallow,Gavia immer_Common Loon,Lithobates sylvaticus_Wood Frog,Setophaga striata_Blackpoll Warbler,Colaptes auratus_Northern Flicker,Haliaeetus leucocephalus_Bald Eagle,Piranga olivacea_Scarlet Tanager,Sphyrapicus varius_Yellow-bellied Sapsucker,Coccyzus americanus_Yellow-billed Cuckoo,Spizella passerina_Chipping Sparrow,Lithobates palustris_Pickerel Frog,Bombycilla cedrorum_Cedar Waxwing,Perisoreus canadensis_Canada Jay,Hylocichla mustelina_Wood Thrush
0.0,3.0,20240331_154150.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,5.0,20240331_154150.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240331_154200.WAV,0.6579487323760986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240331_154200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
