start,end,file,Bubo virginianus_Great Horned Owl,Lithobates catesbeianus_American Bullfrog,Poecile atricapillus_Black-capped Chickadee,Pseudacris crucifer_Spring Peeper,Turdus migratorius_American Robin,Lithobates sylvaticus_Wood Frog,Antrostomus vociferus_Eastern Whip-poor-will,Branta hutchinsii_Cackling Goose,Anas platyrhynchos_Mallard,Myadestes townsendi_Townsend's Solitaire,Lithobates clamitans_Green Frog,Cardinalis cardinalis_Northern Cardinal,Nannopterum auritum_Double-crested Cormorant,Fulica americana_American Coot,Branta bernicla_Brant,Canis latrans_Coyote,Botaurus lentiginosus_American Bittern,Scolopax minor_American Woodcock,Podiceps grisegena_Red-necked Grebe,Cygnus buccinator_Trumpeter Swan,Amblycorypha longinicta_Common Virtuoso Katydid,Conocephalus fasciatus_Slender Meadow Katydid,Human non-vocal_Human non-vocal,Sayornis phoebe_Eastern Phoebe,Leiothlypis peregrina_Tennessee Warbler,Piranga olivacea_Scarlet Tanager,Sitta carolinensis_White-breasted Nuthatch,Corvus brachyrhynchos_American Crow,Aegolius acadicus_Northern Saw-whet Owl,Sitta canadensis_Red-breasted Nuthatch,Dryocopus pileatus_Pileated Woodpecker,Euphagus carolinus_Rusty Blackbird,Sphyrapicus varius_Yellow-bellied Sapsucker,Melospiza melodia_Song Sparrow,Regulus satrapa_Golden-crowned Kinglet,Certhia americana_Brown Creeper,Cardellina canadensis_Canada Warbler,Nycticorax nycticorax_Black-crowned Night-Heron,Lanius borealis_Northern Shrike,Tamias striatus_Eastern Chipmunk,Aix sponsa_Wood Duck,Dog_Dog,Anas crecca_Green-winged Teal,Pheucticus ludovicianus_Rose-breasted Grosbeak,Piranga rubra_Summer Tanager,Myiarchus crinitus_Great Crested Flycatcher,Agelaius phoeniceus_Red-winged Blackbird,Quiscalus quiscula_Common Grackle,Dryobates villosus_Hairy Woodpecker,Cyanocitta cristata_Blue Jay,Anser caerulescens_Snow Goose,Hylocichla mustelina_Wood Thrush,Dryobates pubescens_Downy Woodpecker,Chaetura pelagica_Chimney Swift,Icterus galbula_Baltimore Oriole,Contopus virens_Eastern Wood-Pewee,Gallinago delicata_Wilson's Snipe,Empidonax minimus_Least Flycatcher,Strix varia_Barred Owl,Megascops asio_Eastern Screech-Owl,Gavia immer_Common Loon,Colaptes auratus_Northern Flicker,Catharus guttatus_Hermit Thrush,Larus delawarensis_Ring-billed Gull,Acanthis flammea_Common Redpoll,Euphagus cyanocephalus_Brewer's Blackbird,Zonotrichia leucophrys_White-crowned Sparrow,Lithobates palustris_Pickerel Frog,Buteo platypterus_Broad-winged Hawk,Spizelloides arborea_American Tree Sparrow,Setophaga striata_Blackpoll Warbler,Cygnus columbianus_Tundra Swan,Engine_Engine,Vireo solitarius_Blue-headed Vireo,Troglodytes hiemalis_Winter Wren,Calidris minutilla_Least Sandpiper,Coccothraustes vespertinus_Evening Grosbeak,Ammospiza leconteii_LeConte's Sparrow,Tachycineta bicolor_Tree Swallow,Spinus tristis_American Goldfinch,Spatula clypeata_Northern Shoveler,Accipiter gentilis_Northern Goshawk
0.0,3.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240330_150900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
