start,end,file,Pseudacris crucifer_Spring Peeper,Lithobates palustris_Pickerel Frog,Aegolius acadicus_Northern Saw-whet Owl,Aix sponsa_Wood Duck,Poecile atricapillus_Black-capped Chickadee,Turdus migratorius_American Robin,Dryocopus pileatus_Pileated Woodpecker,Botaurus lentiginosus_American Bittern,Zonotrichia leucophrys_White-crowned Sparrow,Salpinctes obsoletus_Rock Wren,Melanerpes erythrocephalus_Red-headed Woodpecker,Sitta carolinensis_White-breasted Nuthatch,Melospiza melodia_Song Sparrow,Sitta canadensis_Red-breasted Nuthatch,Branta canadensis_Canada Goose,Zonotrichia albicollis_White-throated Sparrow,Ammospiza leconteii_LeConte's Sparrow,Myadestes townsendi_Townsend's Solitaire,Corvus brachyrhynchos_American Crow,Charadrius semipalmatus_Semipalmated Plover,Megaceryle alcyon_Belted Kingfisher,Sialia sialis_Eastern Bluebird,Cyanocitta cristata_Blue Jay,Cygnus buccinator_Trumpeter Swan,Anas platyrhynchos_Mallard,Sayornis saya_Say's Phoebe,Catharus ustulatus_Swainson's Thrush,Loxia curvirostra_Red Crossbill,Melanerpes carolinus_Red-bellied Woodpecker,Cardinalis cardinalis_Northern Cardinal,Amblycorypha longinicta_Common Virtuoso Katydid,Baeolophus bicolor_Tufted Titmouse,Buteo lineatus_Red-shouldered Hawk,Hylocichla mustelina_Wood Thrush,Pluvialis squatarola_Black-bellied Plover,Dryobates villosus_Hairy Woodpecker,Piranga rubra_Summer Tanager,Lanius borealis_Northern Shrike,Euphagus carolinus_Rusty Blackbird,Regulus satrapa_Golden-crowned Kinglet,Haemorhous mexicanus_House Finch,Catharus guttatus_Hermit Thrush,Sayornis phoebe_Eastern Phoebe,Pheucticus ludovicianus_Rose-breasted Grosbeak,Certhia americana_Brown Creeper,Corvus corax_Common Raven,Bubo virginianus_Great Horned Owl,Spinus pinus_Pine Siskin,Spinus tristis_American Goldfinch,Chaetura pelagica_Chimney Swift,Tamias striatus_Eastern Chipmunk,Colaptes auratus_Northern Flicker,Conocephalus fasciatus_Slender Meadow Katydid,Anas crecca_Green-winged Teal,Sphyrapicus varius_Yellow-bellied Sapsucker,Junco hyemalis_Dark-eyed Junco,Setophaga pinus_Pine Warbler,Melospiza georgiana_Swamp Sparrow,Hirundo rustica_Barn Swallow,Anaxyrus americanus_American Toad,Petrochelidon pyrrhonota_Cliff Swallow,Spizelloides arborea_American Tree Sparrow,Acanthis flammea_Common Redpoll,Passerella iliaca_Fox Sparrow,Troglodytes hiemalis_Winter Wren,Coturnicops noveboracensis_Yellow Rail,Calidris minutilla_Least Sandpiper,Molothrus ater_Brown-headed Cowbird,Setophaga coronata_Yellow-rumped Warbler,Falco columbarius_Merlin,Chordeiles minor_Common Nighthawk,Branta hutchinsii_Cackling Goose,Anser albifrons_Greater White-fronted Goose,Tringa solitaria_Solitary Sandpiper,Agelaius phoeniceus_Red-winged Blackbird,Nycticorax nycticorax_Black-crowned Night-Heron,Scolopax minor_American Woodcock,Ardea herodias_Great Blue Heron,Charadrius vociferus_Killdeer,Gavia immer_Common Loon,Setophaga virens_Black-throated Green Warbler,Dryobates pubescens_Downy Woodpecker,Spizella passerina_Chipping Sparrow
0.0,3.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240331_190000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240331_190100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240331_190100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240331_190100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240331_190100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240331_190100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240331_190100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240331_190100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240331_190100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
