start,end,file,Human vocal_Human vocal,Bubo virginianus_Great Horned Owl,Pseudacris crucifer_Spring Peeper,Cygnus buccinator_Trumpeter Swan,Branta canadensis_Canada Goose,Engine_Engine,Zonotrichia leucophrys_White-crowned Sparrow,Poecile atricapillus_Black-capped Chickadee,Myadestes townsendi_Townsend's Solitaire,Anas platyrhynchos_Mallard,Anas rubripes_American Black Duck,Haemorhous mexicanus_House Finch,Spizelloides arborea_American Tree Sparrow,Certhia americana_Brown Creeper,Hylocichla mustelina_Wood Thrush,Agelaius phoeniceus_Red-winged Blackbird,Euphagus carolinus_Rusty Blackbird,Aegolius acadicus_Northern Saw-whet Owl,Melospiza melodia_Song Sparrow,Dog_Dog,Anser caerulescens_Snow Goose,Antigone canadensis_Sandhill Crane,Branta hutchinsii_Cackling Goose,Aix sponsa_Wood Duck,Canis latrans_Coyote,Somateria mollissima_Common Eider,Salpinctes obsoletus_Rock Wren,Cardinalis cardinalis_Northern Cardinal,Anas acuta_Northern Pintail,Turdus migratorius_American Robin,Ardea herodias_Great Blue Heron,Baeolophus bicolor_Tufted Titmouse,Ammospiza leconteii_LeConte's Sparrow,Gavia immer_Common Loon,Melospiza georgiana_Swamp Sparrow,Corvus brachyrhynchos_American Crow,Cygnus columbianus_Tundra Swan,Pandion haliaetus_Osprey,Empidonax flaviventris_Yellow-bellied Flycatcher,Lithobates palustris_Pickerel Frog,Larus delawarensis_Ring-billed Gull,Sayornis phoebe_Eastern Phoebe,Anser albifrons_Greater White-fronted Goose,Podilymbus podiceps_Pied-billed Grebe,Dryocopus pileatus_Pileated Woodpecker,Quiscalus quiscula_Common Grackle,Anas crecca_Green-winged Teal,Buteo lineatus_Red-shouldered Hawk,Corvus ossifragus_Fish Crow,Corvus corax_Common Raven,Tamias striatus_Eastern Chipmunk,Sitta canadensis_Red-breasted Nuthatch,Euphagus cyanocephalus_Brewer's Blackbird,Tringa melanoleuca_Greater Yellowlegs,Geothlypis trichas_Common Yellowthroat,Rallus limicola_Virginia Rail,Junco hyemalis_Dark-eyed Junco,Nycticorax nycticorax_Black-crowned Night-Heron,Scolopax minor_American Woodcock,Mareca americana_American Wigeon,Chordeiles minor_Common Nighthawk,Coccyzus erythropthalmus_Black-billed Cuckoo,Megascops asio_Eastern Screech-Owl,Coccyzus americanus_Yellow-billed Cuckoo,Spinus pinus_Pine Siskin,Mareca strepera_Gadwall,Bucephala clangula_Common Goldeneye,Catharus guttatus_Hermit Thrush,Sitta carolinensis_White-breasted Nuthatch,Aythya americana_Redhead,Circus hudsonius_Northern Harrier,Sialia sialis_Eastern Bluebird,Falco sparverius_American Kestrel,Regulus satrapa_Golden-crowned Kinglet,Pheucticus ludovicianus_Rose-breasted Grosbeak,Icterus galbula_Baltimore Oriole,Piranga rubra_Summer Tanager,Charadrius vociferus_Killdeer,Molothrus ater_Brown-headed Cowbird,Mergus merganser_Common Merganser,Gallinago delicata_Wilson's Snipe,Buteo platypterus_Broad-winged Hawk,Piranga olivacea_Scarlet Tanager,Passerculus sandwichensis_Savannah Sparrow,Empidonax minimus_Least Flycatcher,Cistothorus palustris_Marsh Wren,Troglodytes hiemalis_Winter Wren,Botaurus lentiginosus_American Bittern,Anthus rubescens_American Pipit,Strix varia_Barred Owl,Coturnicops noveboracensis_Yellow Rail,Sphyrapicus varius_Yellow-bellied Sapsucker,Passerella iliaca_Fox Sparrow,Megaceryle alcyon_Belted Kingfisher,Chaetura pelagica_Chimney Swift,Dryobates villosus_Hairy Woodpecker,Cyanocitta cristata_Blue Jay,Tyrannus verticalis_Western Kingbird,Corthylio calendula_Ruby-crowned Kinglet,Leiothlypis peregrina_Tennessee Warbler,Colaptes auratus_Northern Flicker,Zonotrichia albicollis_White-throated Sparrow,Setophaga fusca_Blackburnian Warbler,Dumetella carolinensis_Gray Catbird,Spizella passerina_Chipping Sparrow,Dryobates pubescens_Downy Woodpecker,Melanerpes carolinus_Red-bellied Woodpecker,Antrostomus vociferus_Eastern Whip-poor-will
0.0,3.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240330_154100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
