start,end,file,Agelaius phoeniceus_Red-winged Blackbird,Melospiza melodia_Song Sparrow,Branta canadensis_Canada Goose,Aix sponsa_Wood Duck,Engine_Engine,Coccyzus erythropthalmus_Black-billed Cuckoo,Troglodytes hiemalis_Winter Wren,Spizelloides arborea_American Tree Sparrow,Sayornis phoebe_Eastern Phoebe,Zonotrichia leucophrys_White-crowned Sparrow,Pseudacris crucifer_Spring Peeper,Corvus brachyrhynchos_American Crow,Human vocal_Human vocal,Tyrannus tyrannus_Eastern Kingbird,Euphagus carolinus_Rusty Blackbird,Cygnus buccinator_Trumpeter Swan,Anas platyrhynchos_Mallard,Gavia immer_Common Loon,Lithobates palustris_Pickerel Frog,Canis latrans_Coyote,Gallinago delicata_Wilson's Snipe,Salpinctes obsoletus_Rock Wren,Corvus corax_Common Raven,Anser caerulescens_Snow Goose,Anas rubripes_American Black Duck,Molothrus ater_Brown-headed Cowbird,Bubo virginianus_Great Horned Owl,Poecile atricapillus_Black-capped Chickadee,Lithobates clamitans_Green Frog,Tyrannus verticalis_Western Kingbird,Mergus merganser_Common Merganser,Aegolius acadicus_Northern Saw-whet Owl,Dryobates villosus_Hairy Woodpecker,Perisoreus canadensis_Canada Jay,Columba livia_Rock Pigeon,Hylocichla mustelina_Wood Thrush,Podilymbus podiceps_Pied-billed Grebe,Botaurus lentiginosus_American Bittern,Anser albifrons_Greater White-fronted Goose,Junco hyemalis_Dark-eyed Junco,Strix varia_Barred Owl,Euphagus cyanocephalus_Brewer's Blackbird,Loxia curvirostra_Red Crossbill,Accipiter gentilis_Northern Goshawk,Turdus migratorius_American Robin,Branta hutchinsii_Cackling Goose,Quiscalus quiscula_Common Grackle,Tamias striatus_Eastern Chipmunk,Anas crecca_Green-winged Teal,Setophaga virens_Black-throated Green Warbler,Mareca strepera_Gadwall,Ammospiza leconteii_LeConte's Sparrow,Melospiza lincolnii_Lincoln's Sparrow,Bonasa umbellus_Ruffed Grouse,Empidonax flaviventris_Yellow-bellied Flycatcher,Conocephalus fasciatus_Slender Meadow Katydid,Melospiza georgiana_Swamp Sparrow,Passerella iliaca_Fox Sparrow,Fireworks_Fireworks,Nycticorax nycticorax_Black-crowned Night-Heron,Myadestes townsendi_Townsend's Solitaire,Odocoileus virginianus_White-tailed Deer,Catharus guttatus_Hermit Thrush,Certhia americana_Brown Creeper,Regulus satrapa_Golden-crowned Kinglet,Cardellina canadensis_Canada Warbler,Lithobates sylvaticus_Wood Frog,Coccothraustes vespertinus_Evening Grosbeak,Antigone canadensis_Sandhill Crane,Sayornis saya_Say's Phoebe,Actitis macularius_Spotted Sandpiper,Dryobates pubescens_Downy Woodpecker,Sitta carolinensis_White-breasted Nuthatch,Scolopax minor_American Woodcock,Setophaga striata_Blackpoll Warbler,Charadrius vociferus_Killdeer,Setophaga tigrina_Cape May Warbler,Setophaga fusca_Blackburnian Warbler,Cyanocitta cristata_Blue Jay,Spinus tristis_American Goldfinch,Tachycineta bicolor_Tree Swallow,Larus delawarensis_Ring-billed Gull,Sphyrapicus varius_Yellow-bellied Sapsucker,Cygnus columbianus_Tundra Swan,Piranga olivacea_Scarlet Tanager,Stelgidopteryx serripennis_Northern Rough-winged Swallow,Baeolophus bicolor_Tufted Titmouse,Colaptes auratus_Northern Flicker,Bombycilla cedrorum_Cedar Waxwing,Anas acuta_Northern Pintail,Chaetura pelagica_Chimney Swift,Anthus rubescens_American Pipit,Parkesia noveboracensis_Northern Waterthrush,Dryocopus pileatus_Pileated Woodpecker,Sitta canadensis_Red-breasted Nuthatch,Corthylio calendula_Ruby-crowned Kinglet,Setophaga coronata_Yellow-rumped Warbler,Zonotrichia albicollis_White-throated Sparrow
0.0,3.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240330_144400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
