start,end,file,Aix sponsa_Wood Duck,Quiscalus quiscula_Common Grackle,Agelaius phoeniceus_Red-winged Blackbird,Mareca strepera_Gadwall,Botaurus lentiginosus_American Bittern,Buteo jamaicensis_Red-tailed Hawk,Euphagus carolinus_Rusty Blackbird,Rallus limicola_Virginia Rail,Sialia sialis_Eastern Bluebird,Melospiza melodia_Song Sparrow,Turdus migratorius_American Robin,Pseudacris crucifer_Spring Peeper,Sayornis phoebe_Eastern Phoebe,Catharus guttatus_Hermit Thrush,Polioptila caerulea_Blue-gray Gnatcatcher,Spizelloides arborea_American Tree Sparrow,Branta bernicla_Brant,Lithobates catesbeianus_American Bullfrog,Amblycorypha longinicta_Common Virtuoso Katydid,Lithobates sylvaticus_Wood Frog,Sitta canadensis_Red-breasted Nuthatch,Picoides dorsalis_American Three-toed Woodpecker,Progne subis_Purple Martin,Pinicola enucleator_Pine Grosbeak,Larus delawarensis_Ring-billed Gull,Anas platyrhynchos_Mallard,Scudderia furcata_Fork-tailed Bush Katydid,Haemorhous mexicanus_House Finch,Meleagris gallopavo_Wild Turkey,Conocephalus fasciatus_Slender Meadow Katydid,Branta canadensis_Canada Goose,Human vocal_Human vocal,Corvus corax_Common Raven,Aegolius acadicus_Northern Saw-whet Owl,Engine_Engine,Dog_Dog,Cyanocitta cristata_Blue Jay,Regulus satrapa_Golden-crowned Kinglet,Corvus brachyrhynchos_American Crow,Dryobates villosus_Hairy Woodpecker,Euphagus cyanocephalus_Brewer's Blackbird,Colaptes auratus_Northern Flicker,Poecile atricapillus_Black-capped Chickadee,Gavia immer_Common Loon,Empidonax flaviventris_Yellow-bellied Flycatcher,Pipilo erythrophthalmus_Eastern Towhee,Lanius ludovicianus_Loggerhead Shrike,Salpinctes obsoletus_Rock Wren,Baeolophus bicolor_Tufted Titmouse,Sitta carolinensis_White-breasted Nuthatch,Protonotaria citrea_Prothonotary Warbler,Setophaga fusca_Blackburnian Warbler,Chordeiles minor_Common Nighthawk,Melospiza georgiana_Swamp Sparrow,Chaetura pelagica_Chimney Swift,Zenaida macroura_Mourning Dove,Lithobates palustris_Pickerel Frog,Piranga olivacea_Scarlet Tanager,Piranga rubra_Summer Tanager,Cistothorus palustris_Marsh Wren,Tyrannus verticalis_Western Kingbird,Tachycineta bicolor_Tree Swallow,Molothrus ater_Brown-headed Cowbird,Spinus pinus_Pine Siskin,Sayornis saya_Say's Phoebe,Cardellina canadensis_Canada Warbler,Dryocopus pileatus_Pileated Woodpecker,Zonotrichia leucophrys_White-crowned Sparrow,Gallinago delicata_Wilson's Snipe,Pandion haliaetus_Osprey,Buteo platypterus_Broad-winged Hawk,Dryobates pubescens_Downy Woodpecker,Sturnus vulgaris_European Starling,Setophaga castanea_Bay-breasted Warbler,Sturnella magna_Eastern Meadowlark,Antrostomus vociferus_Eastern Whip-poor-will,Spinus tristis_American Goldfinch,Haliaeetus leucocephalus_Bald Eagle,Spatula discors_Blue-winged Teal,Melanerpes erythrocephalus_Red-headed Woodpecker,Zonotrichia albicollis_White-throated Sparrow
0.0,3.0,20240330_161744.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240330_161744.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240330_161744.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,11.0,20240330_161744.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240330_161900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
