start,end,file,Amblycorypha alexanderi_Clicker Round-winged Katydid,Certhia americana_Brown Creeper
0.0,3.0,20240331_152100.WAV,,
3.0,6.0,20240331_152100.WAV,,
6.0,9.0,20240331_152100.WAV,,
9.0,12.0,20240331_152100.WAV,,
12.0,15.0,20240331_152100.WAV,,
15.0,18.0,20240331_152100.WAV,,
18.0,21.0,20240331_152100.WAV,,
21.0,24.0,20240331_152100.WAV,,
24.0,27.0,20240331_152100.WAV,,
27.0,30.0,20240331_152100.WAV,,
30.0,33.0,20240331_152100.WAV,,
33.0,36.0,20240331_152100.WAV,,
36.0,39.0,20240331_152100.WAV,,
39.0,42.0,20240331_152100.WAV,,
42.0,45.0,20240331_152100.WAV,,
45.0,48.0,20240331_152100.WAV,,
48.0,51.0,20240331_152100.WAV,,
51.0,54.0,20240331_152100.WAV,,
54.0,55.0,20240331_152100.WAV,,
0.0,3.0,20240331_152300.WAV,,
3.0,6.0,20240331_152300.WAV,,
6.0,9.0,20240331_152300.WAV,,
9.0,12.0,20240331_152300.WAV,,
12.0,15.0,20240331_152300.WAV,,
15.0,18.0,20240331_152300.WAV,,
18.0,21.0,20240331_152300.WAV,,
21.0,24.0,20240331_152300.WAV,,
24.0,27.0,20240331_152300.WAV,,
27.0,30.0,20240331_152300.WAV,,
30.0,33.0,20240331_152300.WAV,,
33.0,36.0,20240331_152300.WAV,,
36.0,39.0,20240331_152300.WAV,,
39.0,42.0,20240331_152300.WAV,,
42.0,45.0,20240331_152300.WAV,,
45.0,48.0,20240331_152300.WAV,,
48.0,51.0,20240331_152300.WAV,,
51.0,54.0,20240331_152300.WAV,,
54.0,55.0,20240331_152300.WAV,,
0.0,3.0,20240331_150700.WAV,,
3.0,6.0,20240331_150700.WAV,,
6.0,9.0,20240331_150700.WAV,,
9.0,12.0,20240331_150700.WAV,,
12.0,15.0,20240331_150700.WAV,,
15.0,18.0,20240331_150700.WAV,,
18.0,21.0,20240331_150700.WAV,,
21.0,24.0,20240331_150700.WAV,,
24.0,27.0,20240331_150700.WAV,,
27.0,30.0,20240331_150700.WAV,,
30.0,33.0,20240331_150700.WAV,,
33.0,36.0,20240331_150700.WAV,,
36.0,39.0,20240331_150700.WAV,0.4027409851551056,
39.0,42.0,20240331_150700.WAV,,
42.0,45.0,20240331_150700.WAV,,
45.0,48.0,20240331_150700.WAV,,
48.0,51.0,20240331_150700.WAV,,
51.0,54.0,20240331_150700.WAV,,
