Combined_Name,Common_Name,Scientific_Name
Columba livia_Rock Dove,Rock Pigeon,Columba livia
Larus delawarensis_Ring-billed Gull,Ring-billed Gull,Larus delawarensis
Cathartes aura_Turkey Vulture,Turkey Vulture,Cathartes aura
Buteo lineatus_Red-shouldered Hawk,Red-shouldered Hawk,Buteo lineatus
Branta canadensis_Canada Goose,Canada Goose,Branta canadensis
Ardea herodias_Great Blue Heron,Great Blue Heron,Ardea herodias
Colaptes auratus_Northern Flicker,Northern Flicker,Colaptes auratus
Sayornis phoebe_Eastern Phoebe,Eastern Phoebe,Sayornis phoebe
Cyanocitta cristata_Blue Jay,Blue Jay,Cyanocitta cristata
Dumetella carolinensis_Grey Catbird,Gray Catbird,Dumetella carolinensis
Spinus tristis_American Goldfinch,American Goldfinch,Spinus tristis
Zonotrichia albicollis_White-throated Sparrow,White-throated Sparrow,Zonotrichia albicollis
Melospiza melodia_Song Sparrow,Song Sparrow,Melospiza melodia
Anas platyrhynchos_Mallard,Mallard,Anas platyrhynchos
Larus argentatus_Herring Gull,American Herring Gull,Larus smithsonianus
Larus marinus_Great Black-backed Gull,Great Black-backed Gull,Larus marinus
Nannopterum auritum_Double-crested Cormorant,Double-crested Cormorant,Nannopterum auritum
Accipiter striatus_Sharp-shinned Hawk,Sharp-shinned Hawk,Accipiter striatus
Corvus brachyrhynchos_American Crow,American Crow,Corvus brachyrhynchos
Poecile atricapillus_Black-capped Chickadee,Black-capped Chickadee,Poecile atricapillus
Sitta carolinensis_White-breasted Nuthatch,White-breasted Nuthatch,Sitta carolinensis
Sturnus vulgaris_Common Starling,European Starling,Sturnus vulgaris
Bombycilla cedrorum_Cedar Waxwing,Cedar Waxwing,Bombycilla cedrorum
Pipilo erythrophthalmus_Eastern Towhee,Eastern Towhee,Pipilo erythrophthalmus
Corvus corax_Common Raven,Common Raven,Corvus corax
Sphyrapicus varius_Yellow-bellied Sapsucker,Yellow-bellied Sapsucker,Sphyrapicus varius
Vireo olivaceus_Red-eyed Vireo,Red-eyed Vireo,Vireo olivaceus
Sitta canadensis_Red-breasted Nuthatch,Red-breasted Nuthatch,Sitta canadensis
Catharus ustulatus_Swainson's Thrush,Swainson's Thrush,Catharus ustulatus
Setophaga ruticilla_American Redstart,American Redstart,Setophaga ruticilla
Setophaga americana_Northern Parula,Northern Parula,Setophaga americana
Setophaga magnolia_Magnolia Warbler,Magnolia Warbler,Setophaga magnolia
Cardinalis cardinalis_Northern Cardinal,Northern Cardinal,Cardinalis cardinalis
Mergus merganser_Goosander,Common Merganser,Mergus merganser
Dryocopus pileatus_Pileated Woodpecker,Pileated Woodpecker,Dryocopus pileatus
Dryobates villosus_Hairy Woodpecker,Hairy Woodpecker,Dryobates villosus
Junco hyemalis_Dark-eyed Junco,Dark-eyed Junco,Junco hyemalis
Sialia sialis_Eastern Bluebird,Eastern Bluebird,Sialia sialis
Melospiza georgiana_Swamp Sparrow,Swamp Sparrow,Melospiza georgiana
Passerina cyanea_Indigo Bunting,Indigo Bunting,Passerina cyanea
Aix sponsa_Wood Duck,Wood Duck,Aix sponsa
Mareca americana_American Wigeon,American Wigeon,Mareca americana
Anas rubripes_American Black Duck,American Black Duck,Anas rubripes
Aythya americana_Redhead,Redhead,Aythya americana
Aythya collaris_Ring-necked Duck,Ring-necked Duck,Aythya collaris
Aythya marila_Greater Scaup,Greater Scaup,Aythya marila
Aythya affinis_Lesser Scaup,Lesser Scaup,Aythya affinis
Zenaida macroura_Mourning Dove,Mourning Dove,Zenaida macroura
Gallinula galeata_American Moorhen,Common Gallinule,Gallinula galeata
Podilymbus podiceps_Pied-billed Grebe,Pied-billed Grebe,Podilymbus podiceps
Haliaeetus leucocephalus_Bald Eagle,Bald Eagle,Haliaeetus leucocephalus
Eremophila alpestris_Shore Lark,Horned Lark,Eremophila alpestris
Agelaius phoeniceus_Red-winged Blackbird,Red-winged Blackbird,Agelaius phoeniceus
Euphagus carolinus_Rusty Blackbird,Rusty Blackbird,Euphagus carolinus
Setophaga pinus_Pine Warbler,Pine Warbler,Setophaga pinus
Setophaga coronata_Yellow-rumped Warbler,Yellow-rumped Warbler,Setophaga coronata
Gavia immer_Great Northern Diver,Common Loon,Gavia immer
Ardea alba_Great White Egret,Great Egret,Ardea alba
Strix varia_Barred Owl,Barred Owl,Strix varia
Megaceryle alcyon_Belted Kingfisher,Belted Kingfisher,Megaceryle alcyon
Baeolophus bicolor_Tufted Titmouse,Tufted Titmouse,Baeolophus bicolor
Turdus migratorius_American Robin,American Robin,Turdus migratorius
Meleagris gallopavo_Wild Turkey,Wild Turkey,Meleagris gallopavo
Melanerpes carolinus_Red-bellied Woodpecker,Red-bellied Woodpecker,Melanerpes carolinus
Cygnus olor_Mute Swan,Mute Swan,Cygnus olor
Spizella passerina_Chipping Sparrow,Chipping Sparrow,Spizella passerina
Geothlypis trichas_Common Yellowthroat,Common Yellowthroat,Geothlypis trichas
Bonasa umbellus_Ruffed Grouse,Ruffed Grouse,Bonasa umbellus
Pandion haliaetus_Osprey,Osprey,Pandion haliaetus
Falco sparverius_American Kestrel,American Kestrel,Falco sparverius
Rallus limicola_Virginia Rail,Virginia Rail,Rallus limicola
Melospiza lincolnii_Lincoln's Sparrow,Lincoln's Sparrow,Melospiza lincolnii
Circus hudsonius_Northern Harrier,Northern Harrier,Circus hudsonius
Buteo jamaicensis_Red-tailed Hawk,Red-tailed Hawk,Buteo jamaicensis
Corthylio calendula_Ruby-crowned Kinglet,Ruby-crowned Kinglet,Corthylio calendula
Certhia americana_Brown Creeper,Brown Creeper,Certhia americana
Troglodytes aedon_House Wren,Northern House Wren,Troglodytes aedon
Tringa solitaria_Solitary Sandpiper,Solitary Sandpiper,Tringa solitaria
Spatula discors_Blue-winged Teal,Blue-winged Teal,Spatula discors
Accipiter cooperii_Cooper's Hawk,Cooper's Hawk,Astur cooperii
Dryobates pubescens_Downy Woodpecker,Downy Woodpecker,Dryobates pubescens
Empidonax minimus_Least Flycatcher,Least Flycatcher,Empidonax minimus
Vireo solitarius_Blue-headed Vireo,Blue-headed Vireo,Vireo solitarius
Tachycineta bicolor_Tree Swallow,Tree Swallow,Tachycineta bicolor
Regulus satrapa_Golden-crowned Kinglet,Golden-crowned Kinglet,Regulus satrapa
Anthus rubescens_Buff-bellied Pipit,American Pipit,Anthus rubescens
Haemorhous purpureus_Purple Finch,Purple Finch,Haemorhous purpureus
Molothrus ater_Brown-headed Cowbird,Brown-headed Cowbird,Molothrus ater
Quiscalus quiscula_Common Grackle,Common Grackle,Quiscalus quiscula
Setophaga caerulescens_Black-throated Blue Warbler,Black-throated Blue Warbler,Setophaga caerulescens
Pheucticus ludovicianus_Rose-breasted Grosbeak,Rose-breasted Grosbeak,Pheucticus ludovicianus
Anas crecca_Eurasian/Green-winged Teal,Green-winged Teal,Anas crecca
Charadrius vociferus_Killdeer,Killdeer,Charadrius vociferus
Calidris melanotos_Pectoral Sandpiper,Pectoral Sandpiper,Calidris melanotos
Setophaga palmarum_Palm Warbler,Palm Warbler,Setophaga palmarum
Catharus guttatus_Hermit Thrush,Hermit Thrush,Catharus guttatus
Passer domesticus_House Sparrow,House Sparrow,Passer domesticus
Bubo virginianus_Great Horned Owl,Great Horned Owl,Bubo virginianus
Calidris minutilla_Least Sandpiper,Least Sandpiper,Calidris minutilla
Perisoreus canadensis_Canada Jay,Canada Jay,Perisoreus canadensis
Mniotilta varia_Black-and-white Warbler,Black-and-white Warbler,Mniotilta varia
Zonotrichia leucophrys_White-crowned Sparrow,White-crowned Sparrow,Zonotrichia leucophrys
Leiothlypis peregrina_Tennessee Warbler,Tennessee Warbler,Leiothlypis peregrina
Pluvialis squatarola_Grey Plover,Black-bellied Plover,Pluvialis squatarola
Gallinago delicata_Wilson's Snipe,Wilson's Snipe,Gallinago delicata
Setophaga virens_Black-throated Green Warbler,Black-throated Green Warbler,Setophaga virens
Piranga olivacea_Scarlet Tanager,Scarlet Tanager,Piranga olivacea
Seiurus aurocapilla_Ovenbird,Ovenbird,Seiurus aurocapilla
Leiothlypis ruficapilla_Nashville Warbler,Nashville Warbler,Leiothlypis ruficapilla
Scolopax minor_American Woodcock,American Woodcock,Scolopax minor
Botaurus lentiginosus_American Bittern,American Bittern,Botaurus lentiginosus
Butorides virescens_Green Heron,Green Heron,Butorides virescens
Thryothorus ludovicianus_Carolina Wren,Carolina Wren,Thryothorus ludovicianus
Setophaga striata_Blackpoll Warbler,Blackpoll Warbler,Setophaga striata
Cardellina canadensis_Canada Warbler,Canada Warbler,Cardellina canadensis
Spatula clypeata_Northern Shoveler,Northern Shoveler,Spatula clypeata
Anser caerulescens_Snow Goose,Snow Goose,Anser caerulescens
Hylocichla mustelina_Wood Thrush,Wood Thrush,Hylocichla mustelina
Passerculus sandwichensis_Savannah Sparrow,Savannah Sparrow,Passerculus sandwichensis
Vireo gilvus_Warbling Vireo,Warbling Vireo,Vireo gilvus
Hirundo rustica_Barn Swallow,Barn Swallow,Hirundo rustica
Empidonax flaviventris_Yellow-bellied Flycatcher,Yellow-bellied Flycatcher,Empidonax flaviventris
Buteo platypterus_Broad-winged Hawk,Broad-winged Hawk,Buteo platypterus
Falco columbarius_Merlin,Merlin,Falco columbarius
Setophaga fusca_Blackburnian Warbler,Blackburnian Warbler,Setophaga fusca
Catharus fuscescens_Veery,Veery,Catharus fuscescens
Charadrius semipalmatus_Semipalmated Plover,Semipalmated Plover,Charadrius semipalmatus
Calidris pusilla_Semipalmated Sandpiper,Semipalmated Sandpiper,Calidris pusilla
Setophaga castanea_Bay-breasted Warbler,Bay-breasted Warbler,Setophaga castanea
Lophodytes cucullatus_Hooded Merganser,Hooded Merganser,Lophodytes cucullatus
Tringa flavipes_Lesser Yellowlegs,Lesser Yellowlegs,Tringa flavipes
Dolichonyx oryzivorus_Bobolink,Bobolink,Dolichonyx oryzivorus
Cistothorus palustris_Marsh Wren,Marsh Wren,Cistothorus palustris
Toxostoma rufum_Brown Thrasher,Brown Thrasher,Toxostoma rufum
Tringa melanoleuca_Greater Yellowlegs,Greater Yellowlegs,Tringa melanoleuca
Archilochus colubris_Ruby-throated Hummingbird,Ruby-throated Hummingbird,Archilochus colubris
Contopus virens_Eastern Wood-Pewee,Eastern Wood-Pewee,Contopus virens
Setophaga tigrina_Cape May Warbler,Cape May Warbler,Setophaga tigrina
Sturnella magna_Eastern Meadowlark,Eastern Meadowlark,Sturnella magna
Setophaga petechia_Yellow Warbler,Yellow Warbler,Setophaga petechia
Setophaga pensylvanica_Chestnut-sided Warbler,Chestnut-sided Warbler,Setophaga pensylvanica
Tyrannus tyrannus_Eastern Kingbird,Eastern Kingbird,Tyrannus tyrannus
Haemorhous mexicanus_House Finch,House Finch,Haemorhous mexicanus
Hydroprogne caspia_Caspian Tern,Caspian Tern,Hydroprogne caspia
Myiarchus crinitus_Great Crested Flycatcher,Great Crested Flycatcher,Myiarchus crinitus
Anas acuta_Northern Pintail,Northern Pintail,Anas acuta
Sterna hirundo_Common Tern,Common Tern,Sterna hirundo
Actitis macularius_Spotted Sandpiper,Spotted Sandpiper,Actitis macularius
Vireo flavifrons_Yellow-throated Vireo,Yellow-throated Vireo,Vireo flavifrons
Contopus cooperi_Olive-sided Flycatcher,Olive-sided Flycatcher,Contopus cooperi
Spinus pinus_Pine Siskin,Pine Siskin,Spinus pinus
Coccyzus erythropthalmus_Black-billed Cuckoo,Black-billed Cuckoo,Coccyzus erythropthalmus
Empidonax traillii_Willow Flycatcher,Willow Flycatcher,Empidonax traillii
Icterus galbula_Baltimore Oriole,Baltimore Oriole,Icterus galbula
Parkesia noveboracensis_Northern Waterthrush,Northern Waterthrush,Parkesia noveboracensis
Troglodytes hiemalis_Winter Wren,Winter Wren,Troglodytes hiemalis
Mareca strepera_Gadwall,Gadwall,Mareca strepera
Falco peregrinus_Peregrine Falcon,Peregrine Falcon,Falco peregrinus
Vermivora chrysoptera_Golden-winged Warbler,Golden-winged Warbler,Vermivora chrysoptera
Spizella pusilla_Field Sparrow,Field Sparrow,Spizella pusilla
Empidonax alnorum_Alder Flycatcher,Alder Flycatcher,Empidonax alnorum
Mergus serrator_Red-breasted Merganser,Red-breasted Merganser,Mergus serrator
Chroicocephalus philadelphia_Bonaparte's Gull,Bonaparte's Gull,Chroicocephalus philadelphia
Coccothraustes vespertinus_Evening Grosbeak,Evening Grosbeak,Coccothraustes vespertinus
Chlidonias niger_Black Tern,Black Tern,Chlidonias niger
Chaetura pelagica_Chimney Swift,Chimney Swift,Chaetura pelagica
Progne subis_Purple Martin,Purple Martin,Progne subis
Fulica americana_American Coot,American Coot,Fulica americana
Petrochelidon pyrrhonota_Cliff Swallow,Cliff Swallow,Petrochelidon pyrrhonota
Geothlypis philadelphia_Mourning Warbler,Mourning Warbler,Geothlypis philadelphia
Loxia curvirostra_Common Crossbill,Red Crossbill,Loxia curvirostra
Bucephala clangula_Common Goldeneye,Common Goldeneye,Bucephala clangula
Podiceps grisegena_Red-necked Grebe,Red-necked Grebe,Podiceps grisegena
