Species
Snow Goose
Canada Goose
Mute Swan
Wood Duck
Blue-winged Teal
Northern Shoveler
Gadwall
American Wigeon
Mallard
American Black Duck
Northern Pintail
Green-winged Teal
Redhead
Ring-necked Duck
Greater Scaup
Lesser Scaup
Common Goldeneye
Hooded Merganser
Common Merganser
Red-breasted Merganser
Wild Turkey
Ruffed Grouse
Rock Pigeon
Mourning Dove
Black-billed Cuckoo
Chimney Swift
Ruby-throated Hummingbird
Virginia Rail
Common Gallinule
American Coot
Black-bellied Plover
Killdeer
Semipalmated Plover
American Woodcock
Wilson's Snipe
Spotted Sandpiper
Solitary Sandpiper
Lesser Yellowlegs
Greater Yellowlegs
Least Sandpiper
Pectoral Sandpiper
Semipalmated Sandpiper
Bonaparte's Gull
Ring-billed Gull
American Herring Gull
Great Black-backed Gull
Caspian Tern
Black Tern
Common Tern
Pied-billed Grebe
Red-necked Grebe
Common Loon
Double-crested Cormorant
American Bittern
Green Heron
Great Egret
Great Blue Heron
Turkey Vulture
Osprey
Sharp-shinned Hawk
Cooper's Hawk
Northern Harrier
Bald Eagle
Broad-winged Hawk
Red-shouldered Hawk
Red-tailed Hawk
Great Horned Owl
Barred Owl
Belted Kingfisher
Yellow-bellied Sapsucker
Red-bellied Woodpecker
Downy Woodpecker
Hairy Woodpecker
Pileated Woodpecker
Northern Flicker
American Kestrel
Merlin
Peregrine Falcon
Olive-sided Flycatcher
Eastern Wood-Pewee
Yellow-bellied Flycatcher
Alder Flycatcher
Willow Flycatcher
Least Flycatcher
Eastern Phoebe
Great Crested Flycatcher
Eastern Kingbird
Yellow-throated Vireo
Blue-headed Vireo
Warbling Vireo
Red-eyed Vireo
Canada Jay
Blue Jay
American Crow
Common Raven
Black-capped Chickadee
Tufted Titmouse
Horned Lark
Tree Swallow
Purple Martin
Barn Swallow
Cliff Swallow
Ruby-crowned Kinglet
Golden-crowned Kinglet
White-breasted Nuthatch
Red-breasted Nuthatch
Brown Creeper
Northern House Wren
Winter Wren
Marsh Wren
Carolina Wren
European Starling
Gray Catbird
Brown Thrasher
Eastern Bluebird
Veery
Swainson's Thrush
Hermit Thrush
Wood Thrush
American Robin
Cedar Waxwing
House Sparrow
American Pipit
Evening Grosbeak
House Finch
Purple Finch
Red Crossbill
Pine Siskin
American Goldfinch
Chipping Sparrow
Field Sparrow
Dark-eyed Junco
White-crowned Sparrow
White-throated Sparrow
Savannah Sparrow
Song Sparrow
Lincoln's Sparrow
Swamp Sparrow
Eastern Towhee
Bobolink
Eastern Meadowlark
Baltimore Oriole
Red-winged Blackbird
Brown-headed Cowbird
Rusty Blackbird
Common Grackle
Ovenbird
Northern Waterthrush
Golden-winged Warbler
Black-and-white Warbler
Tennessee Warbler
Nashville Warbler
Mourning Warbler
Common Yellowthroat
American Redstart
Cape May Warbler
Northern Parula
Magnolia Warbler
Bay-breasted Warbler
Blackburnian Warbler
Yellow Warbler
Chestnut-sided Warbler
Blackpoll Warbler
Black-throated Blue Warbler
Palm Warbler
Pine Warbler
Yellow-rumped Warbler
Black-throated Green Warbler
Canada Warbler
Scarlet Tanager
Northern Cardinal
Rose-breasted Grosbeak
Indigo Bunting
