Combined_Name,Common_Name,Scientific_Name
Rock Pigeon_Columba livia,Rock Pigeon,Columba livia
Ring-billed Gull_Larus delawarensis,Ring-billed Gull,Larus delawarensis
Turkey Vulture_Cathartes aura,Turkey Vulture,Cathartes aura
Red-shouldered Hawk_Buteo lineatus,Red-shouldered Hawk,Buteo lineatus
Canada Goose_Branta canadensis,Canada Goose,Branta canadensis
Great Blue Heron_Ardea herodias,Great Blue Heron,Ardea herodias
Northern Flicker_Colaptes auratus,Northern Flicker,Colaptes auratus
Eastern Phoebe_Sayornis phoebe,Eastern Phoebe,Sayornis phoebe
Blue Jay_Cyanocitta cristata,Blue Jay,Cyanocitta cristata
Gray Catbird_Dumetella carolinensis,Gray Catbird,Dumetella carolinensis
American Goldfinch_Spinus tristis,American Goldfinch,Spinus tristis
White-throated Sparrow_Zonotrichia albicollis,White-throated Sparrow,Zonotrichia albicollis
Song Sparrow_Melospiza melodia,Song Sparrow,Melospiza melodia
Mallard_Anas platyrhynchos,Mallard,Anas platyrhynchos
American Herring Gull_Larus smithsonianus,American Herring Gull,Larus smithsonianus
Great Black-backed Gull_Larus marinus,Great Black-backed Gull,Larus marinus
Double-crested Cormorant_Nannopterum auritum,Double-crested Cormorant,Nannopterum auritum
Sharp-shinned Hawk_Accipiter striatus,Sharp-shinned Hawk,Accipiter striatus
American Crow_Corvus brachyrhynchos,American Crow,Corvus brachyrhynchos
Black-capped Chickadee_Poecile atricapillus,Black-capped Chickadee,Poecile atricapillus
White-breasted Nuthatch_Sitta carolinensis,White-breasted Nuthatch,Sitta carolinensis
European Starling_Sturnus vulgaris,European Starling,Sturnus vulgaris
Cedar Waxwing_Bombycilla cedrorum,Cedar Waxwing,Bombycilla cedrorum
Eastern Towhee_Pipilo erythrophthalmus,Eastern Towhee,Pipilo erythrophthalmus
Common Raven_Corvus corax,Common Raven,Corvus corax
Yellow-bellied Sapsucker_Sphyrapicus varius,Yellow-bellied Sapsucker,Sphyrapicus varius
Red-eyed Vireo_Vireo olivaceus,Red-eyed Vireo,Vireo olivaceus
Red-breasted Nuthatch_Sitta canadensis,Red-breasted Nuthatch,Sitta canadensis
Swainson's Thrush_Catharus ustulatus,Swainson's Thrush,Catharus ustulatus
American Redstart_Setophaga ruticilla,American Redstart,Setophaga ruticilla
Northern Parula_Setophaga americana,Northern Parula,Setophaga americana
Magnolia Warbler_Setophaga magnolia,Magnolia Warbler,Setophaga magnolia
Northern Cardinal_Cardinalis cardinalis,Northern Cardinal,Cardinalis cardinalis
Common Merganser_Mergus merganser,Common Merganser,Mergus merganser
Pileated Woodpecker_Dryocopus pileatus,Pileated Woodpecker,Dryocopus pileatus
Hairy Woodpecker_Dryobates villosus,Hairy Woodpecker,Dryobates villosus
Dark-eyed Junco_Junco hyemalis,Dark-eyed Junco,Junco hyemalis
Eastern Bluebird_Sialia sialis,Eastern Bluebird,Sialia sialis
Swamp Sparrow_Melospiza georgiana,Swamp Sparrow,Melospiza georgiana
Indigo Bunting_Passerina cyanea,Indigo Bunting,Passerina cyanea
Wood Duck_Aix sponsa,Wood Duck,Aix sponsa
American Wigeon_Mareca americana,American Wigeon,Mareca americana
American Black Duck_Anas rubripes,American Black Duck,Anas rubripes
Redhead_Aythya americana,Redhead,Aythya americana
Ring-necked Duck_Aythya collaris,Ring-necked Duck,Aythya collaris
Greater Scaup_Aythya marila,Greater Scaup,Aythya marila
Lesser Scaup_Aythya affinis,Lesser Scaup,Aythya affinis
Mourning Dove_Zenaida macroura,Mourning Dove,Zenaida macroura
Common Gallinule_Gallinula galeata,Common Gallinule,Gallinula galeata
Pied-billed Grebe_Podilymbus podiceps,Pied-billed Grebe,Podilymbus podiceps
Bald Eagle_Haliaeetus leucocephalus,Bald Eagle,Haliaeetus leucocephalus
Horned Lark_Eremophila alpestris,Horned Lark,Eremophila alpestris
Red-winged Blackbird_Agelaius phoeniceus,Red-winged Blackbird,Agelaius phoeniceus
Rusty Blackbird_Euphagus carolinus,Rusty Blackbird,Euphagus carolinus
Pine Warbler_Setophaga pinus,Pine Warbler,Setophaga pinus
Yellow-rumped Warbler_Setophaga coronata,Yellow-rumped Warbler,Setophaga coronata
Common Loon_Gavia immer,Common Loon,Gavia immer
Great Egret_Ardea alba,Great Egret,Ardea alba
Barred Owl_Strix varia,Barred Owl,Strix varia
Belted Kingfisher_Megaceryle alcyon,Belted Kingfisher,Megaceryle alcyon
Tufted Titmouse_Baeolophus bicolor,Tufted Titmouse,Baeolophus bicolor
American Robin_Turdus migratorius,American Robin,Turdus migratorius
Wild Turkey_Meleagris gallopavo,Wild Turkey,Meleagris gallopavo
Red-bellied Woodpecker_Melanerpes carolinus,Red-bellied Woodpecker,Melanerpes carolinus
Mute Swan_Cygnus olor,Mute Swan,Cygnus olor
Chipping Sparrow_Spizella passerina,Chipping Sparrow,Spizella passerina
Common Yellowthroat_Geothlypis trichas,Common Yellowthroat,Geothlypis trichas
Ruffed Grouse_Bonasa umbellus,Ruffed Grouse,Bonasa umbellus
Osprey_Pandion haliaetus,Osprey,Pandion haliaetus
American Kestrel_Falco sparverius,American Kestrel,Falco sparverius
Virginia Rail_Rallus limicola,Virginia Rail,Rallus limicola
Lincoln's Sparrow_Melospiza lincolnii,Lincoln's Sparrow,Melospiza lincolnii
Northern Harrier_Circus hudsonius,Northern Harrier,Circus hudsonius
Red-tailed Hawk_Buteo jamaicensis,Red-tailed Hawk,Buteo jamaicensis
Ruby-crowned Kinglet_Corthylio calendula,Ruby-crowned Kinglet,Corthylio calendula
Brown Creeper_Certhia americana,Brown Creeper,Certhia americana
Northern House Wren_Troglodytes aedon,Northern House Wren,Troglodytes aedon
Solitary Sandpiper_Tringa solitaria,Solitary Sandpiper,Tringa solitaria
Blue-winged Teal_Spatula discors,Blue-winged Teal,Spatula discors
Cooper's Hawk_Astur cooperii,Cooper's Hawk,Astur cooperii
Downy Woodpecker_Dryobates pubescens,Downy Woodpecker,Dryobates pubescens
Least Flycatcher_Empidonax minimus,Least Flycatcher,Empidonax minimus
Blue-headed Vireo_Vireo solitarius,Blue-headed Vireo,Vireo solitarius
Tree Swallow_Tachycineta bicolor,Tree Swallow,Tachycineta bicolor
Golden-crowned Kinglet_Regulus satrapa,Golden-crowned Kinglet,Regulus satrapa
American Pipit_Anthus rubescens,American Pipit,Anthus rubescens
Purple Finch_Haemorhous purpureus,Purple Finch,Haemorhous purpureus
Brown-headed Cowbird_Molothrus ater,Brown-headed Cowbird,Molothrus ater
Common Grackle_Quiscalus quiscula,Common Grackle,Quiscalus quiscula
Black-throated Blue Warbler_Setophaga caerulescens,Black-throated Blue Warbler,Setophaga caerulescens
Rose-breasted Grosbeak_Pheucticus ludovicianus,Rose-breasted Grosbeak,Pheucticus ludovicianus
Green-winged Teal_Anas crecca,Green-winged Teal,Anas crecca
Killdeer_Charadrius vociferus,Killdeer,Charadrius vociferus
Pectoral Sandpiper_Calidris melanotos,Pectoral Sandpiper,Calidris melanotos
Palm Warbler_Setophaga palmarum,Palm Warbler,Setophaga palmarum
Hermit Thrush_Catharus guttatus,Hermit Thrush,Catharus guttatus
House Sparrow_Passer domesticus,House Sparrow,Passer domesticus
