Columba livia
Larus delawarensis
Cathartes aura
Buteo lineatus
Branta canadensis
Ardea herodias
Colaptes auratus
Sayornis phoebe
Cyanocitta cristata
Dumetella carolinensis
Spinus tristis
Zonotrichia albicollis
Melospiza melodia
Anas platyrhynchos
Larus smithsonianus
Larus marinus
Nannopterum auritum
Accipiter striatus
Corvus brachyrhynchos
Poecile atricapillus
Sitta carolinensis
Sturnus vulgaris
Bombycilla cedrorum
Pipilo erythrophthalmus
Corvus corax
Sphyrapicus varius
Vireo olivaceus
Sitta canadensis
Catharus ustulatus
Setophaga ruticilla
Setophaga americana
Setophaga magnolia
Cardinalis cardinalis
Mergus merganser
Dryocopus pileatus
Dryobates villosus
Junco hyemalis
Sialia sialis
Melospiza georgiana
Passerina cyanea
Aix sponsa
Mareca americana
Anas rubripes
Aythya americana
Aythya collaris
Aythya marila
Aythya affinis
Zenaida macroura
Gallinula galeata
Podilymbus podiceps
Haliaeetus leucocephalus
Eremophila alpestris
Agelaius phoeniceus
Euphagus carolinus
Setophaga pinus
Setophaga coronata
Gavia immer
Ardea alba
Strix varia
Megaceryle alcyon
Baeolophus bicolor
Turdus migratorius
Meleagris gallopavo
Melanerpes carolinus
Cygnus olor
Spizella passerina
Geothlypis trichas
Bonasa umbellus
Pandion haliaetus
Falco sparverius
Rallus limicola
Melospiza lincolnii
Circus hudsonius
Buteo jamaicensis
Corthylio calendula
Certhia americana
Troglodytes aedon
Tringa solitaria
Spatula discors
Astur cooperii
Dryobates pubescens
Empidonax minimus
Vireo solitarius
Tachycineta bicolor
Regulus satrapa
Anthus rubescens
Haemorhous purpureus
Molothrus ater
Quiscalus quiscula
Setophaga caerulescens
Pheucticus ludovicianus
Anas crecca
Charadrius vociferus
Calidris melanotos
Setophaga palmarum
Catharus guttatus
Passer domesticus
Bubo virginianus
Calidris minutilla
Perisoreus canadensis
Mniotilta varia
Zonotrichia leucophrys
Leiothlypis peregrina
Pluvialis squatarola
Gallinago delicata
Setophaga virens
Piranga olivacea
Seiurus aurocapilla
Leiothlypis ruficapilla
Scolopax minor
Botaurus lentiginosus
Butorides virescens
Thryothorus ludovicianus
Setophaga striata
Cardellina canadensis
Spatula clypeata
Anser caerulescens
Hylocichla mustelina
Passerculus sandwichensis
Vireo gilvus
Hirundo rustica
Empidonax flaviventris
Buteo platypterus
Falco columbarius
Setophaga fusca
Catharus fuscescens
Charadrius semipalmatus
Calidris pusilla
Setophaga castanea
Lophodytes cucullatus
Tringa flavipes
Dolichonyx oryzivorus
Cistothorus palustris
Toxostoma rufum
Tringa melanoleuca
Archilochus colubris
Contopus virens
Setophaga tigrina
Sturnella magna
Setophaga petechia
Setophaga pensylvanica
Tyrannus tyrannus
Haemorhous mexicanus
Hydroprogne caspia
Myiarchus crinitus
Anas acuta
Sterna hirundo
Actitis macularius
Vireo flavifrons
Contopus cooperi
Spinus pinus
Coccyzus erythropthalmus
Empidonax traillii
Icterus galbula
Parkesia noveboracensis
Troglodytes hiemalis
Mareca strepera
Falco peregrinus
Vermivora chrysoptera
Spizella pusilla
Empidonax alnorum
Mergus serrator
Chroicocephalus philadelphia
Coccothraustes vespertinus
Chlidonias niger
Chaetura pelagica
Progne subis
Fulica americana
Petrochelidon pyrrhonota
Geothlypis philadelphia
Loxia curvirostra
Bucephala clangula
Podiceps grisegena
